"ID","endID","crrdr_d","mean_m","min_m","max_m","range_m"
"Cabo Blanco","H0352","CORR0001",280.454197487491,3,1783,1780
"Cabo Blanco","H0351","CORR0002",234.824812176263,3,1787,1784
"Cabo Blanco","H0361","CORR0003",310.666285510523,3,1914,1911
"Cabo Blanco","H0363","CORR0004",293.613058660722,3,1846,1843
"Cabo Blanco","H0356","CORR0005",348.395454302336,3,2022,2019
"Hitoy Cerere","H0369","CORR0006",684.859234121849,220.771392822266,1685,1464.22860717773
"Hitoy Cerere","H0360","CORR0007",897.061896595947,218,1923,1705
"Hitoy Cerere","H0369","CORR0008",1140.78728281657,258,2287,2029
"Hitoy Cerere","H0369","CORR0009",1243.20619552347,334.578125,2306,1971.421875
"Hitoy Cerere","H0369","CORR0010",1323.59789075349,312.340118408203,2493,2180.6598815918
"Lomas de Barbudal","H0349","CORR0011",411.191003627491,44.7345695495605,1549,1504.26543045044
"Lomas de Barbudal","H0350","CORR0012",338.242316397317,68.5427017211914,1590,1521.45729827881
"Lomas de Barbudal","H0351","CORR0013",280.707380149312,5,1787,1782
"Lomas de Barbudal","H0352","CORR0014",350.202443706288,5,1783,1778
"Lomas de Barbudal","H0353","CORR0015",740.087462982409,68.5427017211914,2215,2146.45729827881
"Calakmul","H0033","CORR0016",349.945339772613,42,1714,1672
"Calakmul","H0048","CORR0017",297.14508427891,42,1699.95764160156,1657.95764160156
"Calakmul","H0052","CORR0018",298.862752542666,42,1837,1795
"Calakmul","H0013","CORR0019",390.966683696709,42,1852,1810
"Calakmul","H0010","CORR0020",413.29797545444,42,2098.76049804688,2056.76049804688
"Bladen","H0135","CORR0021",253.396122248035,6,2007,2001
"Bladen","H0176","CORR0022",296.38720158467,3,1609,1606
"Bladen","H0216","CORR0023",356.685451486415,5.65841770172119,2164,2158.34158229828
"Bladen","H0216","CORR0024",370.825221420387,5.65841770172119,2140.25805664062,2134.5996389389
"Bladen","H0220","CORR0025",395.443964262143,3,1750,1747
"Cayos Miskitos y Franja Costera Inmediata","H0347","CORR0026",288.23040473833,1,1633,1632
"Cayos Miskitos y Franja Costera Inmediata","H0156","CORR0027",208.912592610136,1,1719.94091796875,1718.94091796875
"Cayos Miskitos y Franja Costera Inmediata","H0241","CORR0028",336.429764135079,1,1742,1741
"Cayos Miskitos y Franja Costera Inmediata","H0242","CORR0029",342.688462647336,1,1714,1713
"Cayos Miskitos y Franja Costera Inmediata","H0262","CORR0030",397.530614796643,1,2225,2224
"Pantanos de Centla","H0005","CORR0031",209.012378731419,-4,2187.0751953125,2191.0751953125
"Pantanos de Centla","H0002","CORR0032",226.614965720356,-4,1970,1974
"Pantanos de Centla","H0002","CORR0033",265.026780858232,-4,1725,1729
"Pantanos de Centla","H0001","CORR0034",332.096763794261,-4,2293,2297
"Pantanos de Centla","H0008","CORR0035",240.85025091654,-4,1746,1750
"La Encrucijada","H0117","CORR0036",323.616180245411,4,1914.85388183594,1910.85388183594
"La Encrucijada","H0092","CORR0037",699.622550247146,4,2175,2171
"La Encrucijada","H0084","CORR0038",785.169639237357,4,2175,2171
"La Encrucijada","H0109","CORR0039",414.89844069098,4,2216,2212
"La Encrucijada","H0168","CORR0040",474.885739820035,3,2531,2528
"La Sepultura","H0072","CORR0041",985.953191235901,145,2028,1883
"La Sepultura","H0059","CORR0042",799.071697705165,145,1671,1526
"La Sepultura","H0067","CORR0043",753.658209418173,145,1727,1582
"La Sepultura","H0067","CORR0044",838.404531227958,145,1903,1758
"La Sepultura","H0072","CORR0045",909.505247640144,145,1893,1748
"Los Petenes","H0008","CORR0046",220.341665389129,1.16318988800049,1833,1831.836810112
"Los Petenes","H0010","CORR0047",264.700139475949,1.16318988800049,2098.76049804688,2097.59730815887
"Los Petenes","H0013","CORR0048",249.068399212772,1.16318988800049,1852,1850.836810112
"Los Petenes","H0011","CORR0049",270.12612182521,1.16318988800049,1760,1758.836810112
"Los Petenes","H0005","CORR0050",251.187162141698,1.16318988800049,2433.6806640625,2432.5174741745
"Río Indio Maíz","H0353","CORR0051",259.590335097944,24.8787803649902,2066,2041.12121963501
"Río Indio Maíz","H0353","CORR0052",265.197945745306,24.8787803649902,1963,1938.12121963501
"Río Indio Maíz","H0354","CORR0053",335.265877682958,20,2558,2538
"Río Indio Maíz","H0355","CORR0054",286.785777190814,20,1892,1872
"Río Indio Maíz","H0355","CORR0055",382.825950637848,20,2124,2104
"Ría Lagartos","H0125","CORR0056",248.255256752958,3,2121,2118
"Ría Lagartos","H0142","CORR0057",243.317567020193,3,2087,2084
"Ría Lagartos","H0131","CORR0058",235.08798057159,3,2087,2084
"Ría Lagartos","H0008","CORR0059",196.297565638063,3,1833,1830
"Ría Lagartos","H0131","CORR0060",230.948656585677,3,2087,2084
"Selva El Ocote","H0007","CORR0061",888.744394398494,254,1630,1376
"Selva El Ocote","H0004","CORR0062",791.637827344103,178,2246.748046875,2068.748046875
"Selva El Ocote","H0021","CORR0063",854.263476194858,254,1549,1295
"Selva El Ocote","H0012","CORR0064",921.746682182948,254,1850,1596
"Selva El Ocote","H0021","CORR0065",872.141653250649,254,1912.45385742188,1658.45385742188
"Cayos Miskitos y Franja Costera Inmediata","H0347","CORR0066",322.158779048401,2,1633,1631
"Cayos Miskitos y Franja Costera Inmediata","H0156","CORR0067",189.326231418012,0.559750020503998,1719.94091796875,1719.38116794825
"Cayos Miskitos y Franja Costera Inmediata","H0241","CORR0068",238.717535458856,2,1742,1740
"Cayos Miskitos y Franja Costera Inmediata","H0242","CORR0069",244.176209984597,2,1679.43725585938,1677.43725585938
"Cayos Miskitos y Franja Costera Inmediata","H0262","CORR0070",297.197455320729,2,2225,2223
"Río Dulce","H0216","CORR0071",533.082168284236,1,2164,2163
"Río Dulce","H0216","CORR0072",554.203372997453,1,2140.25805664062,2139.25805664062
"Río Dulce","H0176","CORR0073",273.486201649216,1,1609,1608
"Río Dulce","H0135","CORR0074",371.467824214304,1,2007,2006
"Río Dulce","H0220","CORR0075",440.487852513399,1,1750,1749
"Tikal","H0124","CORR0076",546.124521140588,118,1723,1605
"Tikal","H0145","CORR0077",478.449168187071,118,2463,2345
"Tikal","H0134","CORR0078",575.028568757638,118,1890,1772
"Tikal","H0176","CORR0079",398.944193764556,3,1609,1606
"Tikal","H0148","CORR0080",536.424762244081,118,1772.58117675781,1654.58117675781
"Cerro Miramundo","H0215","CORR0081",778.254073954847,157,1743,1586
"Cerro Miramundo","H0215","CORR0082",754.032943409971,157,1743,1586
"Cerro Miramundo","H0220","CORR0083",797.66923959938,157,2235,2078
"Cerro Miramundo","H0220","CORR0084",1026.84781067433,157,2323,2166
"Cerro Miramundo","H0176","CORR0085",793.32320329214,133,1791,1658
"Santa Rosa","H0349","CORR0086",592.020305524001,106,1814,1708
"Santa Rosa","H0350","CORR0087",724.887741021315,106,1881,1775
"Santa Rosa","H0351","CORR0088",804.632303426663,106,1881,1775
"Santa Rosa","H0352","CORR0089",858.554744322436,106,1881,1775
"Santa Rosa","H0353","CORR0090",831.800764064535,106,2215,2109
"Altos de Campana","H0373","CORR0091",561.899272569738,154,1594.31079101562,1440.31079101562
"Altos de Campana","H0377","CORR0092",330.98242179227,20,1607.74108886719,1587.74108886719
"Altos de Campana","H0377","CORR0093",337.475085540719,20,1617,1597
