"crrdr_d","nKBAs","ID","endID","LCP_length_km"
"CORR0001",4,"Cabo Blanco","H0352",191.112560305264
"CORR0002",4,"Cabo Blanco","H0351",184.410493306512
"CORR0003",7,"Cabo Blanco","H0361",288.54782876009
"CORR0004",7,"Cabo Blanco","H0363",290.984944032364
"CORR0005",5,"Cabo Blanco","H0356",273.840115179982
"CORR0006",3,"Hitoy Cerere","H0369",29.8784484255881
"CORR0007",3,"Hitoy Cerere","H0360",24.7789807055679
"CORR0008",3,"Hitoy Cerere","H0369",32.4564326711687
"CORR0009",3,"Hitoy Cerere","H0369",40.470162121616
"CORR0010",3,"Hitoy Cerere","H0369",42.4415618388245
"CORR0011",2,"Lomas de Barbudal","H0349",49.9494321785173
"CORR0012",2,"Lomas de Barbudal","H0350",47.0584945212979
"CORR0013",2,"Lomas de Barbudal","H0351",110.627636725338
"CORR0014",2,"Lomas de Barbudal","H0352",117.32970372409
"CORR0015",4,"Lomas de Barbudal","H0353",172.695558812572
"CORR0016",3,"Calakmul","H0033",400.973202485933
"CORR0017",3,"Calakmul","H0048",384.519980108392
"CORR0018",3,"Calakmul","H0052",386.479948922512
"CORR0019",4,"Calakmul","H0013",417.642463158525
"CORR0020",4,"Calakmul","H0010",423.659428273161
"CORR0021",5,"Bladen","H0135",194.559161776378
"CORR0022",4,"Bladen","H0176",187.145512263577
"CORR0023",5,"Bladen","H0216",211.239853352062
"CORR0024",5,"Bladen","H0216",213.235039409509
"CORR0025",4,"Bladen","H0220",209.373643097804
"CORR0026",3,"Cayos Miskitos y Franja Costera Inmediata","H0347",359.697507813139
"CORR0027",3,"Cayos Miskitos y Franja Costera Inmediata","H0156",316.383518447756
"CORR0028",4,"Cayos Miskitos y Franja Costera Inmediata","H0241",356.2444017513
"CORR0029",4,"Cayos Miskitos y Franja Costera Inmediata","H0242",358.656614672002
"CORR0030",4,"Cayos Miskitos y Franja Costera Inmediata","H0262",374.747541201792
"CORR0031",2,"Pantanos de Centla","H0005",196.786089600027
"CORR0032",2,"Pantanos de Centla","H0002",197.977050594896
"CORR0033",2,"Pantanos de Centla","H0002",201.311033478276
"CORR0034",3,"Pantanos de Centla","H0001",235.622899244919
"CORR0035",2,"Pantanos de Centla","H0008",215.494490186786
"CORR0036",3,"La Encrucijada","H0117",56.5361862998357
