"crrdr_d","ID","endID","all_pa_area_sqkm","all_pa_pct_overlap","nPAs","LCP_length_km","nKBAs"
"CORR0001","Cabo Blanco","H0352",7849.37286159652,20.7182349329899,8,191.112560305264,4
"CORR0002","Cabo Blanco","H0351",6544.99346690092,17.9049171332852,6,184.410493306512,4
"CORR0003","Cabo Blanco","H0361",8908.56260201356,15.5640759616721,8,288.54782876009,7
"CORR0004","Cabo Blanco","H0363",8908.56260201356,15.4362525818306,8,290.984944032364,7
"CORR0005","Cabo Blanco","H0356",11036.1752348144,20.3284363445493,10,273.840115179982,5
"CORR0006","Hitoy Cerere","H0369",1871.73939064538,31.313497859626,2,29.8784484255881,3
"CORR0007","Hitoy Cerere","H0360",3299.30727469584,66.2573429251243,3,24.7789807055679,3
"CORR0008","Hitoy Cerere","H0369",4562.01053832649,70.0830247872401,3,32.4564326711687,3
"CORR0009","Hitoy Cerere","H0369",7227.21260715618,89.3723334100012,3,40.470162121616,3
"CORR0010","Hitoy Cerere","H0369",7594.40759945185,89.3652312482096,3,42.4415618388245,3
"CORR0011","Lomas de Barbudal","H0349",3580.90565870432,36.0433379871874,2,49.9494321785173,2
"CORR0012","Lomas de Barbudal","H0350",1815.70672653232,19.3885870320922,2,47.0584945212979,2
"CORR0013","Lomas de Barbudal","H0351",3637.9177978687,16.5677421608663,4,110.627636725338,2
"CORR0014","Lomas de Barbudal","H0352",4942.29729751479,21.2207112645223,6,117.32970372409,2
"CORR0015","Lomas de Barbudal","H0353",12597.3342097455,36.7160872422891,8,172.695558812572,4
"CORR0016","Calakmul","H0033",45652.2367129263,58.5973905034418,8,400.973202485933,3
"CORR0017","Calakmul","H0048",45652.2367129263,61.0695031824042,8,384.519980108392,3
"CORR0018","Calakmul","H0052",45652.2367129263,60.7691234888205,8,386.479948922512,3
"CORR0019","Calakmul","H0013",46529.3286955743,57.3547412420645,8,417.642463158525,4
"CORR0020","Calakmul","H0010",46529.3286955743,56.5459102200743,8,423.659428273161,4
"CORR0021","Bladen","H0135",18918.792603821,49.5815981303492,7,194.559161776378,5
"CORR0022","Bladen","H0176",11650.3618502384,31.8203963780272,6,187.145512263577,4
"CORR0023","Bladen","H0216",19506.1913946414,47.1031681662803,8,211.239853352062,5
"CORR0024","Bladen","H0216",19897.9770259155,47.5989223188092,8,213.235039409509,5
"CORR0025","Bladen","H0220",15100.4689778157,36.8710711995309,10,209.373643097804,4
"CORR0026","Cayos Miskitos y Franja Costera Inmediata","H0347",36783.5311256135,51.4799436523746,3,359.697507813139,3
"CORR0027","Cayos Miskitos y Franja Costera Inmediata","H0156",19192.6648271942,30.5237680059316,3,316.383518447756,3
"CORR0028","Cayos Miskitos y Franja Costera Inmediata","H0241",27307.309670005,38.5709682306265,5,356.2444017513,4
"CORR0029","Cayos Miskitos y Franja Costera Inmediata","H0242",27842.334181807,39.0606153309466,5,358.656614672002,4
"CORR0030","Cayos Miskitos y Franja Costera Inmediata","H0262",31019.5941963374,41.6610434470497,5,374.747541201792,4
