"crrdr_d","nCountries","Countries"
"CORR0001",1,"CRI"
"CORR0002",1,"CRI"
"CORR0003",1,"CRI"
"CORR0004",1,"CRI"
"CORR0005",1,"CRI"
"CORR0006",1,"CRI"
"CORR0007",1,"CRI"
"CORR0008",1,"CRI"
"CORR0009",1,"CRI"
"CORR0010",1,"CRI"
"CORR0011",1,"CRI"
"CORR0012",1,"CRI"
"CORR0013",1,"CRI"
"CORR0014",1,"CRI"
"CORR0015",1,"CRI"
"CORR0016",2,"GTM, MEX"
"CORR0017",2,"GTM, MEX"
"CORR0018",2,"GTM, MEX"
"CORR0019",2,"GTM, MEX"
"CORR0020",2,"GTM, MEX"
"CORR0021",3,"BLZ, GTM, HND"
"CORR0022",2,"BLZ, GTM"
"CORR0023",3,"BLZ, GTM, HND"
"CORR0024",3,"BLZ, GTM, HND"
"CORR0025",2,"BLZ, GTM"
"CORR0026",1,"NIC"
"CORR0027",2,"HND, NIC"
"CORR0028",2,"HND, NIC"
"CORR0029",2,"HND, NIC"
"CORR0030",2,"HND, NIC"
"CORR0031",1,"MEX"
"CORR0032",1,"MEX"
"CORR0033",1,"MEX"
"CORR0034",1,"MEX"
"CORR0035",1,"MEX"
"CORR0036",1,"MEX"
"CORR0037",1,"MEX"
"CORR0038",1,"MEX"
"CORR0039",1,"MEX"
"CORR0040",1,"MEX"
"CORR0041",1,"MEX"
"CORR0042",1,"MEX"
"CORR0043",1,"MEX"
"CORR0044",1,"MEX"
"CORR0045",1,"MEX"
"CORR0046",2,"GTM, MEX"
"CORR0047",2,"GTM, MEX"
"CORR0048",2,"GTM, MEX"
"CORR0049",2,"GTM, MEX"
"CORR0050",2,"GTM, MEX"
"CORR0051",2,"CRI, NIC"
"CORR0052",2,"CRI, NIC"
"CORR0053",2,"CRI, NIC"
"CORR0054",2,"CRI, NIC"
"CORR0055",2,"CRI, NIC"
"CORR0056",4,"BLZ, GTM, HND, MEX"
"CORR0057",4,"BLZ, GTM, HND, MEX"
"CORR0058",4,"BLZ, GTM, HND, MEX"
"CORR0059",2,"GTM, MEX"
"CORR0060",4,"BLZ, GTM, HND, MEX"
"CORR0061",1,"MEX"
"CORR0062",1,"MEX"
"CORR0063",1,"MEX"
"CORR0064",1,"MEX"
"CORR0065",1,"MEX"
"CORR0066",1,"NIC"
"CORR0067",2,"HND, NIC"
"CORR0068",2,"HND, NIC"
"CORR0069",2,"HND, NIC"
"CORR0070",2,"HND, NIC"
"CORR0071",2,"GTM, HND"
"CORR0072",2,"GTM, HND"
"CORR0073",1,"GTM"
"CORR0074",2,"GTM, HND"
"CORR0075",1,"GTM"
"CORR0076",2,"BLZ, GTM"
"CORR0077",2,"BLZ, GTM"
"CORR0078",2,"BLZ, GTM"
"CORR0079",2,"BLZ, GTM"
"CORR0080",2,"BLZ, GTM"
"CORR0081",1,"GTM"
"CORR0082",1,"GTM"
"CORR0083",1,"GTM"
"CORR0084",1,"GTM"
"CORR0085",1,"GTM"
"CORR0086",1,"CRI"
"CORR0087",1,"CRI"
"CORR0088",1,"CRI"
"CORR0089",1,"CRI"
"CORR0090",1,"CRI"
"CORR0091",1,"PAN"
"CORR0092",1,"PAN"
"CORR0093",1,"PAN"
"CORR0094",1,"PAN"
"CORR0095",1,"PAN"
"CORR0096",1,"GTM"
"CORR0097",1,"GTM"
"CORR0098",1,"GTM"
"CORR0099",1,"GTM"
"CORR0100",1,"GTM"
"CORR0101",1,"CRI"
"CORR0102",1,"CRI"
"CORR0103",1,"CRI"
"CORR0104",1,"CRI"
"CORR0105",1,"CRI"
"CORR0106",2,"CRI, PAN"
"CORR0107",1,"CRI"
"CORR0108",1,"CRI"
"CORR0109",1,"CRI"
"CORR0110",2,"CRI, PAN"
"CORR0111",1,"CRI"
"CORR0112",1,"CRI"
"CORR0113",1,"CRI"
"CORR0114",1,"CRI"
"CORR0115",1,"CRI"
"CORR0116",1,"CRI"
"CORR0117",1,"CRI"
"CORR0118",1,"CRI"
"CORR0119",1,"CRI"
"CORR0120",1,"CRI"
"CORR0121",1,"CRI"
"CORR0122",1,"CRI"
"CORR0123",1,"CRI"
"CORR0124",1,"CRI"
"CORR0125",1,"CRI"
"CORR0126",2,"COL, PAN"
"CORR0127",2,"COL, PAN"
"CORR0128",2,"COL, PAN"
"CORR0129",1,"COL"
"CORR0130",1,"COL"
"CORR0131",1,"COL"
"CORR0132",1,"COL"
"CORR0133",1,"COL"
"CORR0134",1,"COL"
"CORR0135",1,"COL"
"CORR0136",1,"CRI"
"CORR0137",1,"CRI"
"CORR0138",1,"CRI"
"CORR0139",1,"CRI"
"CORR0140",1,"CRI"
"CORR0141",1,"PAN"
"CORR0142",1,"PAN"
"CORR0143",1,"PAN"
"CORR0144",1,"PAN"
"CORR0145",1,"PAN"
"CORR0146",1,"CRI"
"CORR0147",1,"CRI"
"CORR0148",1,"CRI"
"CORR0149",1,"CRI"
"CORR0150",1,"CRI"
"CORR0151",1,"COL"
"CORR0152",2,"COL, PAN"
"CORR0153",1,"COL"
"CORR0154",2,"COL, PAN"
"CORR0155",1,"COL"
"CORR0156",1,"COL"
"CORR0157",1,"COL"
"CORR0158",1,"COL"
"CORR0159",1,"COL"
"CORR0160",1,"COL"
"CORR0161",1,"CRI"
"CORR0162",1,"CRI"
"CORR0163",1,"CRI"
"CORR0164",1,"CRI"
"CORR0165",1,"CRI"
"CORR0166",1,"NIC"
"CORR0167",2,"CRI, NIC"
"CORR0168",2,"CRI, NIC"
"CORR0169",1,"NIC"
"CORR0170",2,"HND, NIC"
"CORR0171",2,"GTM, MEX"
"CORR0172",2,"GTM, MEX"
"CORR0173",2,"GTM, MEX"
"CORR0174",2,"GTM, MEX"
"CORR0175",2,"GTM, MEX"
"CORR0176",1,"MEX"
"CORR0177",1,"MEX"
"CORR0178",1,"MEX"
"CORR0179",1,"MEX"
"CORR0180",1,"MEX"
"CORR0181",2,"COL, PAN"
"CORR0182",2,"COL, PAN"
"CORR0183",1,"PAN"
"CORR0184",2,"COL, PAN"
"CORR0185",2,"COL, PAN"
"CORR0186",1,"PAN"
"CORR0187",1,"PAN"
"CORR0188",1,"PAN"
"CORR0189",1,"PAN"
"CORR0190",1,"PAN"
"CORR0191",1,"MEX"
"CORR0192",1,"MEX"
"CORR0193",1,"MEX"
"CORR0194",1,"MEX"
"CORR0195",1,"MEX"
"CORR0196",1,"CRI"
"CORR0197",1,"CRI"
"CORR0198",2,"CRI, PAN"
"CORR0199",1,"CRI"
"CORR0200",1,"CRI"
"CORR0201",1,"CRI"
"CORR0202",1,"CRI"
"CORR0203",1,"CRI"
"CORR0204",1,"CRI"
"CORR0205",1,"CRI"
"CORR0206",1,"PAN"
"CORR0207",1,"PAN"
"CORR0208",1,"PAN"
"CORR0209",1,"PAN"
"CORR0210",1,"PAN"
"CORR0211",1,"PAN"
"CORR0212",1,"PAN"
"CORR0213",1,"PAN"
"CORR0214",1,"PAN"
"CORR0215",1,"PAN"
"CORR0216",1,"PAN"
"CORR0217",1,"PAN"
"CORR0218",1,"PAN"
"CORR0219",1,"PAN"
"CORR0220",1,"PAN"
"CORR0221",1,"PAN"
"CORR0222",1,"PAN"
"CORR0223",1,"PAN"
"CORR0224",1,"PAN"
"CORR0225",1,"PAN"
"CORR0226",2,"GTM, MEX"
"CORR0227",2,"GTM, MEX"
"CORR0228",2,"GTM, MEX"
"CORR0229",2,"GTM, MEX"
"CORR0230",2,"GTM, MEX"
"CORR0231",1,"HND"
"CORR0232",1,"HND"
"CORR0233",1,"HND"
"CORR0234",1,"HND"
"CORR0235",1,"HND"
"CORR0236",1,"HND"
"CORR0237",1,"HND"
"CORR0238",1,"HND"
"CORR0239",1,"HND"
"CORR0240",1,"HND"
"CORR0241",1,"HND"
"CORR0242",1,"HND"
"CORR0243",1,"HND"
"CORR0244",2,"GTM, HND"
"CORR0245",1,"HND"
"CORR0246",1,"HND"
