"area","are_km2","endID","mean_m","min_m","max_m","range_m"
5026252.6,5,"H0001",2288.9349195911,1966,2417,451
29319806.6,29.3,"H0002",1715.91290045183,1266,2083,817
5026252.6,5,"H0003",1797.21844966828,1374,2014,640
86284002.2,86.3,"H0004",1732.76166598868,1306,2305,999
9214796.4,9.2,"H0005",1958.67913349697,1215,2451,1236
52775651.8,52.8,"H0006",1897.507470119,1439.68322753906,2363,923.316772460938
5863961.3,5.9,"H0007",1542.21889038086,1144,1634,490
6701670.1,6.7,"H0008",1606.26397018433,1224,1784,560
9214796.4,9.2,"H0009",1810.86017923413,1144,2126.24365234375,982.24365234375
16754175.2,16.8,"H0010",1862.83189779975,1335,2100,765
5026252.6,5,"H0011",1638.54023376465,1398,1848,450
26806680.3,26.8,"H0012",1615.51099794343,1243,1859,616
5026252.6,5,"H0013",1615.85001280738,1295,1867,572
40210020.5,40.2,"H0014",1990.44048732573,1271,2442,1171
7539378.8,7.5,"H0015",1631.06830490276,1394,1886,492
20105010.2,20.1,"H0016",1671.3283478476,1207.34936523438,2079,871.650634765625
9214796.4,9.2,"H0017",1694.90000890783,1468.95935058594,1924.39465332031,455.435302734375
39372311.7,39.4,"H0018",1746.89403935334,1098,2225,1127
6701670.1,6.7,"H0019",1650.20342660299,1351,1953,602
5026252.6,5,"H0020",2317.80751712987,2199,2393,194
22618136.5,22.6,"H0021",1648.74435536183,1228,1917,689
47749399.3,47.7,"H0022",2096.77837794235,1503,2605,1102
64503574.5,64.5,"H0023",1618.97663330139,1202,1858.6240234375,656.6240234375
12565631.4,12.6,"H0024",2593.2666016407,1996,2837,841
10052505.1,10.1,"H0025",2431.02128626089,2175,2684,509
51937943.1,51.9,"H0026",1975.36166963146,1438.37072753906,2512,1073.62927246094
21780427.7,21.8,"H0027",1718.43711911267,1383,2169,786
5026252.6,5,"H0028",2351.57570722026,2229,2532,303
114766100,114.8,"H0029",1655.70970620989,1211.83850097656,1902,690.161499023438
9214796.4,9.2,"H0030",1607.54228140848,1331,1893,562
10890213.9,10.9,"H0031",2435.63506005131,2319,2552,233
5026252.6,5,"H0032",2069.48064643012,1958,2239,281
5026252.6,5,"H0033",1635.89766176285,1398,1759,361
5026252.6,5,"H0034",1587.85674688621,1200,1747.40344238281,547.403442382812
5026252.6,5,"H0035",2003.71447693872,1750,2093,343
20105010.2,20.1,"H0036",2340.46238163409,2127,2522,395
