"ID","endID","crrdr_d","all_pa_area_sqkm","all_pa_pct_overlap","nPAs","LCP_length_km","nKBAs","biomass_mean","biomass_min","biomass_max","mean_m","min_m","max_m","range_m","nCountries","Countries","name","iso_a3","are_km2","endnode_elevrange_m","endnode_pct_protected","StartNode_areakm2","StartNode_elevrange_m"
"Acuiferos Guacimo y Pococi","H0355","CORR0768",3672.17147158892,79.1359819538048,2,23.1499007969017,1,82.5419960021973,38.8214340209961,135.977340698242,1095.78786797862,406.522918701172,1993,1586.47708129883,1,"CRI","Costa Rica","CRI",228.7,2285,98.8457118823157,9.346025294365,266.764343261719
"Acuiferos Guacimo y Pococi","H0354","CORR0769",8708.92996298735,85.6853234800855,3,50.9454469288775,1,90.6879803558876,53.4091682434082,148.710357666016,1304.49804850163,406.522918701172,2558,2151.47708129883,1,"CRI","Costa Rica","CRI",173.4,1706.53637695312,99.6281656550763,9.346025294365,266.764343261719
"Acuiferos Guacimo y Pococi","H0355","CORR0766",1748.65706961949,49.4951988370198,2,17.6403730713819,1,95.5977383990621,58.2393569946289,158.357345581055,1032.44857593752,363,2124,1761,1,"CRI","Costa Rica","CRI",228.7,2285,98.8457118823157,9.346025294365,266.764343261719
"Acuiferos Guacimo y Pococi","H0355","CORR0767",2881.88262283552,74.8532753435838,2,19.1438252108597,1,79.4889268420991,53.4091682434082,135.977340698242,921.910631289041,406.522918701172,1892,1485.47708129883,1,"CRI","Costa Rica","CRI",228.7,2285,98.8457118823157,9.346025294365,266.764343261719
"Acuiferos Guacimo y Pococi","H0358","CORR0770",3855.84777887901,35.2646949300897,2,54.934703032437,3,95.4214663044099,24.3910369873047,184.813293457031,1476.54674114089,363,2823,2460,1,"CRI","Costa Rica","CRI",18.4,635,4.25809833759811,9.346025294365,266.764343261719
"Agua Blanca","H0005","CORR1918",776.251389004321,6.35740448031367,1,63.4830042462382,2,68.1461213340222,25.639835357666,94.1997528076172,771.414205134712,33,2187.0751953125,2154.0751953125,1,"MEX","Mexico","MEX",9.2,1236,0,18.932891594307,293.823204040527
"Agua Blanca","H0001","CORR1919",776.251389004321,4.72294791615169,1,85.5671095504294,1,63.5002882880134,25.4700489044189,115.530532836914,809.017083011298,33,2293,2260,1,"MEX","Mexico","MEX",5,451,0,18.932891594307,293.823204040527
"Agua Blanca","H0006","CORR1920",776.251389004321,4.63594835809929,1,87.1387641538939,1,62.0243930042093,21.2091236114502,115.530532836914,843.001952914853,33,2363,2330,1,"MEX","Mexico","MEX",52.8,923.316772460938,0,18.932891594307,293.823204040527
"Agua Blanca","H0002","CORR1917",776.251389004321,6.46392582783399,1,62.460508865944,2,66.322270228945,24.164098739624,112.21501159668,775.169385101238,33,1969,1936,1,"MEX","Mexico","MEX",29.3,817,0,18.932891594307,293.823204040527
"Agua Blanca","H0002","CORR1916",776.251389004321,6.42071980643961,1,62.8986277797413,2,67.5217222697298,27.8103542327881,112.21501159668,798.840010972733,33,1970,1937,1,"MEX","Mexico","MEX",29.3,817,0,18.932891594307,293.823204040527
"Aguacaliente  Luha","H0176","CORR0907",6107.28583335641,21.979849757237,5,142.046986556397,4,77.5248324036598,38.4319610595703,126.229072570801,258.148816891639,3,1609,1606,2,"BLZ, GTM","Guatemala","GTM",5,581,0,22.0489643594326,34
"Aguacaliente  Luha","H0135","CORR0906",15529.6931873863,52.3860526664905,6,151.065929637627,4,68.8506339749526,7.27780532836914,107.226989746094,282.545713956481,6,2007,2001,3,"BLZ, GTM, HND","Guatemala","GTM",36,911.210815429688,99.9755800811027,22.0489643594326,34
"Aguacaliente  Luha","H0220","CORR0910",9557.39302480631,29.7480905357502,9,164.275117390623,4,78.1215038402106,38.4319610595703,126.229072570801,384.794943278054,3,1750,1747,2,"BLZ, GTM","Guatemala","GTM",753.9,1763,11.9322397830154,22.0489643594326,34
"Aguacaliente  Luha","H0216","CORR0908",16117.0923899871,48.988927149917,7,167.746621213311,4,65.3684213494455,10.0543966293335,97.9184494018555,409.934179570591,5.65841770172119,2164,2158.34158229828,3,"BLZ, GTM, HND","Guatemala","GTM",15.1,824.421142578125,100,22.0489643594326,34
"Aguacaliente  Luha","H0216","CORR0909",16508.8780214937,49.5892472982457,7,169.741807270758,4,65.5193883542857,10.0543966293335,97.9184494018555,427.061410401024,5.65841770172119,2140.25805664062,2134.5996389389,3,"BLZ, GTM, HND","Guatemala","GTM",15.1,824.421142578125,100,22.0489643594326,34
"Aguas Turbias","H0220","CORR0375",39816.028676208,49.875653511379,14,407.623695025907,5,79.0991268712301,36.4668006896973,126.229072570801,395.301604633076,3,1750,1747,2,"BLZ, GTM","Belize","BLZ",753.9,1763,11.9322397830154,34.9577167767787,110
"Aguas Turbias","H0145","CORR0373",33451.4969668241,42.9287267313009,9,397.783245132589,5,75.8324267574757,13.8401145935059,107.83837890625,415.06090418393,11,2463,2452,2,"BLZ, GTM","Belize","BLZ",5,547,62.3507875108268,34.9577167767787,110
"Aguas Turbias","H0124","CORR0374",31685.2120431537,37.2838260929569,8,434.31172383112,5,76.0168450173367,36.4668006896973,114.554344177246,478.552875140714,11,1723,1712,2,"BLZ, GTM","Belize","BLZ",9.2,440,0,34.9577167767787,110
"Aguas Turbias","H0176","CORR0372",36365.9219230149,48.1740088448981,10,385.395564191685,5,78.9393794800292,36.4668006896973,126.229072570801,346.3649449589,3,1609,1606,2,"BLZ, GTM","Belize","BLZ",5,581,0,34.9577167767787,110
"Aguas Turbias","H0135","CORR0371",44460.0032900034,56.7782549529745,15,399.388347223743,6,76.3035910084563,7.27780532836914,107.83837890625,243.380386133243,6,2007,2001,3,"BLZ, GTM, HND","Belize","BLZ",36,911.210815429688,99.9755800811027,34.9577167767787,110
"Aguateca","H0134","CORR0392",12337.3846051674,32.0233066739734,6,198.36155450452,4,72.7799204050008,18.7234554290771,98.4837036132812,284.012379373627,114,1896,1782,2,"GTM, MEX","Guatemala","GTM",39.4,616,1.17083379561791,16.8270941773623,113
"Aguateca","H0145","CORR0393",7797.22416282473,26.9152949134959,3,148.897351653243,4,56.4557336790119,12.3790550231934,102.848854064941,602.379891519783,120,2463,2343,1,"GTM","Guatemala","GTM",5,547,62.3507875108268,16.8270941773623,113
"Aguateca","H0124","CORR0391",12057.0432495663,31.5258899678506,5,196.876037858858,4,71.5255838610909,18.7234554290771,98.9224853515625,279.708150846493,114,1881,1767,2,"GTM, MEX","Guatemala","GTM",9.2,440,0,16.8270941773623,113
"Aguateca","H0141","CORR0395",12057.0432495663,29.598356885478,5,209.7509886724,4,73.4005862078779,18.7234554290771,118.172706604004,351.797921585444,114,1811.47937011719,1697.47937011719,2,"GTM, MEX","Guatemala","GTM",5.9,258,0,16.8270941773623,113
"Aguateca","H0122","CORR0394",12563.0195097431,33.4682748825453,5,193.406112314535,4,71.5267270239968,18.7234554290771,98.347785949707,289.533642923149,114,1774.80444335938,1660.80444335938,2,"GTM, MEX","Guatemala","GTM",102.2,1408,0.759328964142454,16.8270941773623,113
"Alto Darien","H0386","CORR1067",11412.3034381093,66.8980512423368,3,85.7349214207015,1,91.4003945582889,51.4649353027344,141.22004699707,420.263342288991,16,1649,1633,2,"COL, PAN","Panama","PAN",6.7,463.159423828125,57.955535023183,2009.66449180793,562.740051269531
"Alto Darien","H0398","CORR1070",17720.1426017145,35.6590680695097,4,250.772079772826,2,100.13968876952,44.6004219055176,183.442184448242,165.17398892747,2,1899,1897,2,"COL, PAN","Colombia","COL",7.5,736,0,2009.66449180793,562.740051269531
"Alto Darien","H0380","CORR1066",8414.35567774625,100,3,42.1788753973581,1,82.4214612057335,43.1176605224609,111.243270874023,387.821244917874,41,1542,1501,2,"COL, PAN","Panama","PAN",6.7,494,100,2009.66449180793,562.740051269531
"Alto Darien","H0390","CORR1069",18533.0767335167,35.8298669574955,5,260.940262014873,3,99.105491772241,8.35932064056396,178.232849121094,196.301084577887,2,1690,1688,2,"COL, PAN","Colombia","COL",7.5,386,71.7705101177655,2009.66449180793,562.740051269531
"Alto Darien","H0382","CORR1068",10242.9048124617,100,3,51.3911864447336,1,84.3939162616072,43.1176605224609,116.232688903809,484.78873657073,41,1761.69067382812,1720.69067382812,1,"PAN","Panama","PAN",22.6,469,99.56749185855,2009.66449180793,562.740051269531
"Altos de Campana","H0373","CORR0091",12099.4464070495,47.0990124876469,3,128.830178201343,4,74.5570508796217,36.3599281311035,114.777160644531,561.899272569738,154,1594.31079101562,1440.31079101562,1,"PAN","Panama","PAN",5.9,564,83.6796227057059,13.4140681646589,323.906097412109
"Altos de Campana","H0375","CORR0095",25008.8733675362,62.0671528813978,4,202.184114749142,3,82.1405371162329,32.5921401977539,119.618659973145,289.122672725658,9,1719,1710,1,"PAN","Panama","PAN",5,391,0,13.4140681646589,323.906097412109
"Altos de Campana","H0377","CORR0092",24048.0567378897,64.8906135652923,4,185.766109614926,3,81.0281452999839,32.5921401977539,119.019073486328,330.98242179227,20,1607.74108886719,1587.74108886719,1,"PAN","Panama","PAN",10.9,419.110473632812,0,13.4140681646589,323.906097412109
"Altos de Campana","H0372","CORR0094",25008.8733675362,62.8955191464699,4,199.54824293133,3,81.8632194745486,32.5921401977539,119.618659973145,270.8214370692,9,1813,1804,1,"PAN","Panama","PAN",5.9,459.3896484375,0,13.4140681646589,323.906097412109
