ID,endID,crrdr_d,focal_pa_area_sqkm,focal_pa_pct_overlap,nPAs,LCP_length_km,nKBAs,biomass_mean,biomass_min,biomass_max,mean_m,min_m,max_m,range_m,nCountries,Countries,name,iso_a3,are_km2,endnode_elevrange_m,StartNode_areakm2,StartNode_elevrange_m
Port Honduras,H0135,CORR0966,18750.75514,51.4092711,8,186.006588,5,65.1447348,4.938000202,107.2269897,227.531428,2,2007,2005,3,"BLZ, GTM, HND",Belize,BLZ,36,911.2108154,5.017049484,19
Port Honduras,H0220,CORR0970,16997.8139,42.78496623,13,202.951082,5,74.26873432,4.938000202,126.2290726,284.9813572,2,1750,1748,2,"BLZ, GTM",Guatemala,GTM,753.9,1763,5.017049484,19
Port Honduras,H0176,CORR0969,13566.83357,38.33894369,9,180.7229512,5,73.29053713,4.938000202,126.2290726,169.9891289,2,1609,1607,2,"BLZ, GTM",Guatemala,GTM,5,581,5.017049484,19
Port Honduras,H0216,CORR0968,19731.15637,49.18031808,9,204.6824656,5,62.64862845,4.938000202,97.9184494,351.3386193,2,2140.258057,2138.258057,3,"BLZ, GTM, HND",Guatemala,GTM,15.1,824.4211426,5.017049484,19
Port Honduras,H0216,CORR0967,19339.37073,48.67915263,9,202.6872796,5,62.50037227,4.938000202,97.9184494,336.488308,2,2164,2162,3,"BLZ, GTM, HND",Guatemala,GTM,15.1,824.4211426,5.017049484,19
Isla Galeta,H0372,CORR1114,31800.20267,70.90580744,6,225.0502371,3,83.25396479,19.74095726,119.61866,206.6055057,5,1813,1808,1,PAN,Panama,PAN,5.9,459.3896484,5.029115517,35.24197769
Isla Galeta,H0377,CORR1112,31521.50082,74.72540206,6,211.571396,3,82.71670185,19.74095726,119.6304703,186.8762236,5,1607.741089,1602.741089,1,PAN,Panama,PAN,10.9,419.1104736,5.029115517,35.24197769
Isla Galeta,H0373,CORR1111,20698.79047,63.53220041,6,163.1622115,4,77.96542517,19.74095726,130.2148895,213.1828869,5,1594.310791,1589.310791,1,PAN,Panama,PAN,5.9,564,5.029115517,35.24197769
Isla Galeta,H0377,CORR1113,31521.50082,74.29832197,6,212.7742502,3,82.86091186,19.74095726,119.6304703,193.4178859,5,1617,1612,1,PAN,Panama,PAN,10.9,419.1104736,5.029115517,35.24197769
Isla Galeta,H0375,CORR1115,31800.20267,70.07660613,6,227.6861089,3,83.47597872,19.74095726,119.61866,223.444276,5,1719,1714,1,PAN,Panama,PAN,5,391,5.029115517,35.24197769
Monte Maria,H0124,CORR1177,13239.23982,23.72040292,8,286.340877,5,64.98967738,11.04415703,114.5543442,556.4143058,191,1723,1532,1,GTM,Guatemala,GTM,9.2,440,5.036361492,43
Monte Maria,H0134,CORR1179,13239.23982,22.84373094,8,297.3864131,5,65.83676795,11.04415703,119.3871307,593.7672079,191,1890,1699,1,GTM,Guatemala,GTM,39.4,616,5.036361492,43
Monte Maria,H0145,CORR1176,15032.68041,30.8342048,9,249.8123983,5,63.20933639,11.04415703,98.08113861,465.7224422,186,2463,2277,1,GTM,Guatemala,GTM,5,547,5.036361492,43
Monte Maria,H0176,CORR1178,17915.44055,35.69999402,11,257.3007548,5,68.79084611,10.01069355,126.2290726,367.4875339,3,1609,1606,1,GTM,Guatemala,GTM,5,581,5.036361492,43
Monte Maria,H0148,CORR1180,13239.23982,24.29453096,8,279.4763867,5,63.74653924,11.04415703,120.0671234,543.8417489,191,1772.581177,1581.581177,1,GTM,Guatemala,GTM,5.9,435,5.036361492,43
Ejido Puebla de Morelia,H0033,CORR1747,22963.15178,30.28649472,6,390.3826048,3,67.86203,3.888342381,117.862175,348.9091279,42,1714,1672,2,"GTM, MEX",Mexico,MEX,5,361,5.054844539,40
