"CONS_OB","DESIG","DESIG_E","DESIG_T","GIS_ARE","GIS_M_A","GOV_TYP","INT_CRI","ISO3","IUCN_CA","MANG_AU","MANG_PL","MARINE","METADAT","NAME","NO_TAKE","NO_TK_A","ORIG_NA","OWN_TYP","PARENT_","PA_DEF","REP_ARE","REP_M_A","STATUS","STATUS_","SUB_LOC","SUPP_IN","VERIF","WDPAID","WDPA_PI","GEOMETR","AREA_KM","FID","SRTM90_","LOW_ARE","startnode_ID","mean_m","min_m","max_m","range_m","calculatedarea_km2"
"Not Applicable","Reserva Natural Absoluta","Absolute Natural Reserve","National",30.6622698,15.0016277,"Federal or national ministry or agency","Not Applicable","CRI","Ia","Not Reported","Not Reported","partial",811,"Cabo Blanco","Not Reported",NA,"Cabo Blanco","State","CRI","PA",16.6762009,13.5641,"Designated",1963,"CR-P","Not Applicable","State Verified",102300,"102300","POLYGON",30.5604195,0,500,12.5479407217772,1,177.641896753964,-1,380,381,12.496474611162
"Not Applicable","Reserva Biologica","Biological Reserve","National",100.1899374,0,"Federal or national ministry or agency","Not Applicable","CRI","Ia","Not Reported","Not Reported","terrestrial",811,"Hitoy Cerere","Not Applicable",NA,"Hitoy Cerere","State","CRI","PA",99.7850037,0,"Designated",1978,"CR-L","Not Applicable","State Verified",156,"156","POLYGON",99.8208975,0,500,44.5375843429253,2,388.684663876848,109,582.009704589844,473.009704589844,44.3551461935336
"Not Applicable","Reserva Biologica","Biological Reserve","National",35.0240916,0,"Federal or national ministry or agency","Not Applicable","CRI","Ia","Not Reported","Not Reported","terrestrial",811,"Lomas de Barbudal","Not Applicable",NA,"Lomas de Barbudal","State","CRI","PA",34.8945007,0,"Designated",1986,"CR-G","Not Applicable","State Verified",19370,"19370","POLYGON",34.9600785,0,500,35.1015753270202,3,109.901545813776,15,179,164,34.960075066135
"Not Applicable","Reserva de la Biósfera","Biosphere Reserve","National",7244.2937288,0,"Federal or national ministry or agency","Not Applicable","MEX","Ia","National Commission of Natural Protected Areas","http://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/calakmul.pdf","terrestrial",1850,"Calakmul","Not Applicable",NA,"Calakmul","State","MEX","PA",7231.85125,0,"Designated",1989,"MX-CAM","Not Applicable","State Verified",306780,"306780","POLYGON",7226.11854,0,500,7248.93505054009,4,243.461153622331,84.4814300537109,385,300.518569946289,7226.13045740861
"Not Applicable","Nature Reserve","Nature Reserve","National",407.1404477,0,"Collaborative governance","Not Applicable","BLZ","Ia","Forest Department/Bladen Management Consortium","Not Reported","terrestrial",1844,"Bladen","Not Applicable",NA,"Bladen","Not Reported","BLZ","PA",403.3655574,0,"Designated",1990,"BZ-TOL","Not Applicable","State Verified",12241,"12241","POLYGON",404.695739,0,500,223.921680401631,5,322.508733590846,38.715950012207,555.520690917969,516.804740905762,223.161628316144
"Not Applicable","Reserva Biologica Marina","Marine Biological Reserve","National",8566.579505,5107.6500834,"Federal or national ministry or agency","Not Applicable","NIC","Ia","Ministerio del Ambiente y Los Recursos Naturales (MARENA)","Not Reported","partial",820,"Cayos Miskitos y Franja Costera Inmediata","Not Reported",NA,"Cayos Miskitos y Franja Costera Inmediata","Not Reported","NIC","PA",8567.29341,5026.5314,"Designated",1991,"NI-CN","Not Applicable","State Verified",12667,"12667","POLYGON",8535.6209715,0,500,3289.93775887027,6,9.67941020766319,-5,72,77,3277.89529391302
"Not Applicable","Reserva de la Biósfera","Biosphere Reserve","National",3045.5523357,1.4309132,"Federal or national ministry or agency","Not Applicable","MEX","Ia","National Commission of Natural Protected Areas","http://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/centla.pdf","terrestrial",1850,"Pantanos de Centla","Not Applicable",NA,"Pantanos de Centla","State","MEX","PA",3027.06625,0,"Designated",1992,"MX-TAB","Not Applicable","State Verified",20134,"20134","POLYGON",3036.423403,0,500,3032.33272673414,7,1.19941186932142,-6,18,24,3022.7628707866
"Not Applicable","Burdon Canal Nature Reserve","Nature Reserve","National",19.8311665,0,"Federal or national ministry or agency","Not Applicable","BLZ","Ia","Forest Department","Not Reported","terrestrial",1844,"Burdon Canal","Not Applicable",NA,"Burdon Canal","Not Reported","BLZ","PA",19.6879565,0,"Designated",1992,"BZ-BZ","Not Applicable","State Verified",37253,"37253","POLYGON",19.715148,0,500,19.7794975631736,8,4.26021379656776,2,16,14,19.7149018665533
"Not Applicable","Reserva de la Biósfera","Biosphere Reserve","National",1451.4119552,159.4337982,"Federal or national ministry or agency","Not Applicable","MEX","Ia","National Commission of Natural Protected Areas","http://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/encrucijada.pdf","partial",1850,"La Encrucijada","Not Reported",NA,"La Encrucijada","State","MEX","PA",1448.6815875,0,"Designated",1995,"MX-CHP","Not Applicable","State Verified",20064,"20064","POLYGON",1457.3098175,0,500,1077.88929596612,9,9.36236675995264,-3,30,33,1074.05909197928
"Not Applicable","Reserva de la Biósfera","Biosphere Reserve","National",1679.9465776,0,"Federal or national ministry or agency","Not Applicable","MEX","Ia","National Commission of Natural Protected Areas","http://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/sepultura.pdf","terrestrial",1850,"La Sepultura","Not Applicable",NA,"La Sepultura","State","MEX","PA",1673.098625,0,"Designated",1995,"MX-CHP","Not Applicable","State Verified",166969,"166969","POLYGON",1674.8919515,0,500,310.512060901853,10,321.800250132793,64,618.874755859375,554.874755859375,309.448635309452
